customer_id,customer_name,gender,age,city,state,region,signup_date,customer_segment
CUST00001,Arjun Kapoor,Male,36,Hyderabad,Telangana,South,2023-10-09,Regular
CUST00002,Karthik Kapoor,Male,30,Mysuru,Karnataka,South,2023-04-15,Premium
CUST00003,Kiran Chatterjee,Male,29,Pune,Maharashtra,West,2023-02-02,New
CUST00004,Ramesh Gupta,Male,29,Thiruvananthapuram,Kerala,South,2024-06-01,Regular
CUST00005,Anand Patel,Male,46,Mumbai,Maharashtra,West,2025-01-03,Premium
CUST00006,Lakshmi Naidu,Female,38,Indore,Madhya Pradesh,Central,2024-08-26,Regular
CUST00007,Dinesh Sinha,Male,27,Ahmedabad,Gujarat,West,2023-06-13,Premium
CUST00008,Swathi Menon,Female,36,Ahmedabad,Gujarat,West,2023-06-09,Regular
CUST00009,Ananya Iyer,Female,34,Jaipur,Rajasthan,North,2024-01-25,New
CUST00010,Manisha Das,Female,18,Gurugram,Haryana,North,2024-09-10,Regular
CUST00011,Harish Naidu,Male,22,Gurugram,Haryana,North,2024-07-03,New
CUST00012,Divya Bose,Female,34,Noida,Uttar Pradesh,North,2023-10-28,Premium
CUST00013,Aishwarya Patel,Female,45,Surat,Gujarat,West,2024-12-22,New
CUST00014,Gaurav Gupta,Male,29,Bengaluru,Karnataka,South,2025-03-02,Regular
CUST00015,Sunil Gupta,Male,27,Mysuru,Karnataka,South,2025-06-06,New
CUST00016,Anitha Naidu,Female,32,Ahmedabad,Gujarat,West,2024-10-12,Regular
CUST00017,Amit Das,Male,26,Coimbatore,Tamil Nadu,South,2023-08-03,Premium
CUST00018,Vidya Ghosh,Female,29,Jaipur,Rajasthan,North,2024-11-30,Premium
CUST00019,Ashok Agarwal,Male,31,Mumbai,Maharashtra,West,2023-06-25,Regular
CUST00020,Suresh Naidu,Male,22,Kolkata,West Bengal,East,2024-01-24,Regular
CUST00021,Gaurav Verma,Male,39,Gurugram,Haryana,North,2025-05-13,Premium
CUST00022,Manoj Chauhan,Male,21,Bengaluru,Karnataka,South,2023-02-02,Regular
CUST00023,Anitha Iyer,Female,20,Indore,Madhya Pradesh,Central,2023-08-05,Regular
CUST00024,Meena Agarwal,Female,33,Hyderabad,Telangana,South,2024-05-26,Regular
CUST00025,Kavya Menon,Female,38,Pune,Maharashtra,West,2023-05-23,Regular
CUST00026,Bhavana Joshi,Female,33,Ahmedabad,Gujarat,West,2024-03-14,Regular
CUST00027,Nithya Gupta,Female,30,Lucknow,Uttar Pradesh,North,2023-05-22,Regular
CUST00028,Divya Malhotra,Female,29,Delhi,Delhi,North,2023-02-18,New
CUST00029,Vishal Rao,Male,27,Delhi,Delhi,North,2025-03-22,Premium
CUST00030,Neha Iyer,Female,41,Bengaluru,Karnataka,South,2024-01-30,Regular
